Target,MAE,MSE,MAE_Exact,Weekly_ROI,Week_Forecast
-0.82577,1.1902192370860827,2.8317422088517166,1.5219007633032056,"[-0.5226421, -0.5774158, -0.5888546, -0.58504045, -0.55170524, -0.5172584, -0.4996174, -0.49878204, -0.49706817, -0.507272, -0.50919104, -0.5184659, -0.52712744, -0.5381251, -0.55043685, -0.56356287, -0.57702005, -0.5906525, -0.6042787, -0.61794996, -0.63143134, -0.64472485, -0.6576854, -0.67028797, -0.6824863, -0.69426167, -0.70559967, -0.71649134, -0.7269318, -0.7369238, -0.74647135, -0.7555843, -0.7642735, -0.7725524, -0.780434, -0.7879337, -0.7950665, -0.8018479, -0.80829346, -0.8144189, -0.8202388, -0.8257684]",[3.5376427  2.8828688  2.6806402  ... 3.081603   3.1793835  0.91765165]
0.97074,1.1956735923525494,2.799444499728969,1.592846955839461,"[-0.15257666, -0.13752536, -0.033076927, -0.062000163, -0.10668981, -0.13980727, -0.13532329, -0.10856953, -0.046881594, 0.02212273, 0.097320415, 0.18191841, 0.26284176, 0.34224564, 0.41642085, 0.48509383, 0.5474828, 0.60373473, 0.6535145, 0.69728374, 0.7356713, 0.7691074, 0.7981337, 0.82329, 0.8450553, 0.8638569, 0.8800783, 0.8940691, 0.90613437, 0.9165377, 0.92550826, 0.9332441, 0.9399152, 0.9456691, 0.9506326, 0.95491433, 0.958609, 0.9617967, 0.9645477, 0.9669218, 0.96897066, 0.97073907]",[3.3409505 2.7384686 2.5384138 ... 3.008096  3.0856798 1.0262522]
-0.00343,1.1906436239140505,2.800555655996446,1.5453813958559168,"[-0.8311555, -0.9642935, -1.006036, -1.0330846, -1.05413, -1.0893612, -1.1567394, -1.2100749, -1.1445537, -1.0215228, -0.9293604, -0.83971596, -0.7547177, -0.6736065, -0.5960839, -0.52109295, -0.4468383, -0.37336254, -0.3052933, -0.245244, -0.1914728, -0.14214517, -0.09657742, -0.054360546, -0.015516579, 0.0142517965, 0.031073265, 0.03601473, 0.032944173, 0.026048817, 0.017367918, 0.0076157507, -0.0022408552, -0.011723936, -0.018890556, -0.02269512, -0.022556717, -0.01899749, -0.013385294, -0.007895799, -0.004503941, -0.0034338888]",[3.5906472 2.833905  2.7382555 ... 2.9110208 3.2020285 0.666096 ]
-0.33306,1.1899495258932797,2.8103669525705235,1.5360634735539953,"[-0.62319547, -0.6584164, -0.638671, -0.6658152, -0.6911756, -0.7093457, -0.7069161, -0.6927377, -0.6689089, -0.599959, -0.5500226, -0.4971441, -0.44664663, -0.3985454, -0.35456008, -0.3158708, -0.2836385, -0.2583326, -0.23999012, -0.22945353, -0.22548093, -0.22729948, -0.23385608, -0.24404235, -0.25672594, -0.27083004, -0.28537995, -0.29954922, -0.31268245, -0.32426453, -0.3339663, -0.34160888, -0.3471482, -0.350652, -0.35227734, -0.3522477, -0.35083055, -0.3483173, -0.34500527, -0.34118414, -0.3371215, -0.33305523]",[3.6265876 2.9319928 2.806932  ... 2.9575472 3.107359  0.7726114]
-0.19472,1.1818115139798364,2.768056264058669,1.5013173664687811,"[-0.71710384, -0.7705539, -0.80792755, -0.8244169, -0.816279, -0.79309356, -0.7626021, -0.71549976, -0.62313557, -0.52441615, -0.4443577, -0.37560964, -0.31681907, -0.26831725, -0.22978978, -0.20061186, -0.17984685, -0.16688779, -0.16050223, -0.15906854, -0.1609423, -0.16486442, -0.16990021, -0.17533338, -0.18059865, -0.18531892, -0.18929377, -0.19244461, -0.19474396, -0.19626988, -0.19715121, -0.19753909, -0.19758023, -0.19738331, -0.19703919, -0.1966224, -0.19618955, -0.19578016, -0.19541948, -0.19512056, -0.19488713, -0.19471629]",[3.4464312 2.791457  2.6157055 ... 2.9619625 3.1627479 0.603762 ]
-0.41671,1.1721411930725185,2.764713106671928,1.492970996478199,"[-0.74783975, -0.8425892, -0.87975085, -0.9268326, -0.9517222, -0.9620204, -0.96528685, -0.95521504, -0.8925235, -0.8331331, -0.78915167, -0.74653095, -0.711101, -0.6804849, -0.65426236, -0.63135153, -0.6108037, -0.59189147, -0.5746291, -0.5585815, -0.54370797, -0.5300726, -0.51757634, -0.5061942, -0.49585673, -0.48649395, -0.47802806, -0.4703822, -0.4634785, -0.45724845, -0.45162743, -0.4465568, -0.44198468, -0.4378633, -0.43414995, -0.43080533, -0.4277943, -0.4250844, -0.4226464, -0.4204537, -0.41848195, -0.41670924]",[3.6457503  3.0069227  2.8411543  ... 3.2649324  3.2898567  0.60323983]
-0.27687,1.1811523472619285,2.7727973012800895,1.4518546575224944,"[-0.9046655, -1.0096697, -0.97657466, -0.9636701, -0.9432883, -0.9479042, -0.98208225, -1.0067772, -0.9473676, -0.86683667, -0.7922282, -0.72703373, -0.66773564, -0.61608684, -0.5706711, -0.5306562, -0.49429035, -0.46052456, -0.43004864, -0.40350378, -0.38048977, -0.3605415, -0.34326017, -0.32829073, -0.31529754, -0.30423877, -0.29506603, -0.28767687, -0.28192946, -0.277634, -0.27458644, -0.2725883, -0.27145386, -0.27101538, -0.2711038, -0.2715714, -0.272295, -0.2731732, -0.27412477, -0.27508718, -0.27601457, -0.27687475]",[3.465406  2.8131309 2.6458695 ... 2.9854486 3.0736523 0.3589421]
-1.3313,1.1918056295689066,2.7934974022167114,1.520013632880191,"[-0.94115245, -1.2051989, -1.4437802, -1.6923528, -1.8899043, -2.0226932, -2.0697527, -2.080266, -2.058889, -2.0068274, -1.9646845, -1.9199234, -1.8779578, -1.8376002, -1.7990953, -1.762364, -1.7279749, -1.6957914, -1.6656357, -1.6374962, -1.6108478, -1.5858675, -1.562394, -1.5404191, -1.5198861, -1.5007533, -1.4829636, -1.4664625, -1.4511901, -1.4370817, -1.4240775, -1.4121087, -1.4010835, -1.3908696, -1.381382, -1.3725554, -1.3643407, -1.3567004, -1.3496027, -1.3430202, -1.3369277, -1.3312969]",[3.6264203  2.9865906  2.7663014  ... 3.06079    3.067461   0.70379233]
0.21007,1.1613978699003276,2.7427526550391446,1.4290424367579806,"[-0.76789886, -0.7602399, -0.6768716, -0.62686455, -0.5853562, -0.55856264, -0.5461435, -0.5329021, -0.4861679, -0.437201, -0.39039922, -0.34208703, -0.2949975, -0.24881762, -0.20407914, -0.1608733, -0.1194544, -0.08051619, -0.045207385, -0.013265526, 0.015477715, 0.041669875, 0.06508109, 0.08626246, 0.10525602, 0.12172348, 0.13594219, 0.14811774, 0.15843865, 0.16710803, 0.17431346, 0.18043913, 0.18568483, 0.19021052, 0.19411531, 0.19748735, 0.20040154, 0.2029217, 0.20510368, 0.20699553, 0.20863913, 0.21006915]",[3.600038  2.925168  2.7933507 ... 3.0874183 3.058804  0.5370416]
-0.90846,1.2165783962315952,2.843788082096511,1.6119758741906833,"[-0.23047605, -0.2379274, -0.20111562, -0.24848223, -0.3059097, -0.39015338, -0.48870528, -0.57051295, -0.6042695, -0.6202453, -0.6453952, -0.6728016, -0.6958289, -0.71698225, -0.73584783, -0.75264424, -0.7669569, -0.7790108, -0.78990114, -0.8002548, -0.8098961, -0.8187321, -0.826887, -0.83443373, -0.8414176, -0.8478849, -0.8538881, -0.8594854, -0.8647147, -0.8695977, -0.87415636, -0.878415, -0.88239443, -0.88611573, -0.8895962, -0.89285314, -0.8959007, -0.8987537, -0.901424, -0.9039242, -0.90626585, -0.90845823]",[3.3184342  2.6028917  2.5277863  ... 2.8289123  2.9840777  0.78110075]
0.16123,1.194768440978483,2.8475948306056478,1.5181434414686414,"[-0.62521994, -0.5621996, -0.56142527, -0.5845339, -0.60221833, -0.5999152, -0.5705648, -0.52586305, -0.48674864, -0.43693808, -0.38617182, -0.3386538, -0.29115054, -0.24360694, -0.1957683, -0.14787498, -0.09974396, -0.05257709, -0.0065021217, 0.03869492, 0.079718865, 0.11599302, 0.14881432, 0.1762617, 0.19797148, 0.21363369, 0.22321853, 0.22722961, 0.22663593, 0.22250056, 0.21596946, 0.20806122, 0.19958779, 0.19122852, 0.18349904, 0.17676009, 0.17122182, 0.1669572, 0.16394576, 0.16209465, 0.16124901, 0.16122691]",[3.5737343  2.9193296  2.693132   ... 3.3123474  3.351571   0.97132987]
-0.32549,1.1896676570198883,2.7853675828685525,1.474646813084926,"[-0.7681972, -0.7900108, -0.7809112, -0.79132247, -0.78950584, -0.78526646, -0.7782519, -0.7559994, -0.7207466, -0.6924324, -0.6667564, -0.64203686, -0.61874384, -0.5965752, -0.575595, -0.55574346, -0.53699815, -0.5193949, -0.5029369, -0.48752797, -0.4731238, -0.45967692, -0.44713813, -0.43546018, -0.42459625, -0.4145004, -0.40512726, -0.39643312, -0.38837558, -0.38091365, -0.37400886, -0.36762434, -0.36172372, -0.3562747, -0.35124505, -0.346605, -0.3423265, -0.33838275, -0.3347498, -0.3314041, -0.32832384, -0.3254894]",[3.4100854  2.6364608  2.5522609  ... 3.0540898  3.0515857  0.59717715]
-0.34653,1.1979348639727845,2.8183134891375996,1.5514968322274567,"[-0.64729464, -0.6434003, -0.627366, -0.65826106, -0.66540945, -0.63920665, -0.5622651, -0.46659952, -0.43113008, -0.4264354, -0.42585906, -0.42215955, -0.4217833, -0.42040136, -0.41756415, -0.4123003, -0.4053859, -0.39801136, -0.3908691, -0.3847316, -0.37962958, -0.37544504, -0.37193978, -0.36895674, -0.3662982, -0.363847, -0.36158115, -0.35949245, -0.35759473, -0.35589784, -0.3544065, -0.35311198, -0.35199597, -0.35103327, -0.35019812, -0.34946814, -0.34882456, -0.3482534, -0.34774446, -0.3472909, -0.34688756, -0.34653005]",[3.5836382 2.8752294 2.7181363 ... 2.9452028 3.1424747 0.5689888]
-0.24561,1.185012132212721,2.8046438411203174,1.5591762979890307,"[-0.42232051, -0.42572948, -0.43923533, -0.48381832, -0.51632774, -0.5321718, -0.5368657, -0.52674764, -0.49071628, -0.48760954, -0.4725178, -0.45346785, -0.4391381, -0.427615, -0.418385, -0.41030213, -0.40267766, -0.394984, -0.3866665, -0.37847024, -0.3703876, -0.3622408, -0.3542297, -0.34648144, -0.33904675, -0.33193034, -0.32510662, -0.3185385, -0.31217885, -0.30600455, -0.3000065, -0.29417685, -0.28851646, -0.2830321, -0.27773023, -0.27261528, -0.2676886, -0.26294243, -0.25836873, -0.25395972, -0.24970837, -0.24560857]",[3.516134  2.8184109 2.6606312 ... 3.0918927 3.198581  0.8705353]
0.36895,1.1800040369974414,2.7697868939898247,1.5090731845853211,"[-0.61627936, -0.7968343, -0.8933156, -1.0048703, -1.0704021, -1.0944197, -1.0772667, -1.0302329, -0.9256769, -0.81782615, -0.72239345, -0.63152754, -0.54433143, -0.4608551, -0.38174835, -0.30778396, -0.23956451, -0.17744692, -0.12156933, -0.07068524, -0.02295605, 0.023694849, 0.055656105, 0.075840175, 0.08837718, 0.098985165, 0.109396756, 0.12054182, 0.13326283, 0.14749412, 0.16300358, 0.17898463, 0.19546121, 0.2127729, 0.23069173, 0.24909827, 0.26798132, 0.287389, 0.30730242, 0.32768193, 0.3482732, 0.36894825]",[3.625662   2.804675   2.7465935  ... 3.1429026  3.1975625  0.73458254]
0.35401,1.2225578878905223,2.926413165136268,1.588523447233725,"[-0.42075947, -0.46736166, -0.46679384, -0.5313006, -0.573469, -0.604585, -0.60907674, -0.59360135, -0.58701855, -0.56169045, -0.54206693, -0.5223615, -0.4963925, -0.46698308, -0.43393767, -0.3981036, -0.35960335, -0.3185209, -0.27484134, -0.22847085, -0.17976975, -0.12885872, -0.07600106, -0.019604582, 0.038918518, 0.09063788, 0.13397095, 0.17141439, 0.20301741, 0.22952852, 0.2517976, 0.27019235, 0.28530633, 0.29841638, 0.30983794, 0.3195619, 0.3277889, 0.33475283, 0.34070528, 0.34582335, 0.35022652, 0.35401362]",[3.3047113 2.7292166 2.5774179 ... 2.8297126 3.002608  0.9150207]
-0.68385,1.1939647074214281,2.8294052643498606,1.5631264598724723,"[-0.6801682, -0.8519081, -0.8977512, -0.9873847, -1.0440005, -1.0700552, -1.057454, -1.02297, -0.9939573, -0.9616088, -0.925402, -0.8891262, -0.854445, -0.8226908, -0.7945439, -0.77017725, -0.74937713, -0.7318542, -0.7174907, -0.7060028, -0.6970234, -0.69019747, -0.68518364, -0.6816626, -0.6793458, -0.67797726, -0.6773323, -0.67721933, -0.6774798, -0.6779856, -0.67863536, -0.67935157, -0.68007773, -0.68077356, -0.68141353, -0.6819819, -0.68247247, -0.68288386, -0.68322027, -0.6834874, -0.6836934, -0.68384635]",[3.549051  2.947627  2.7439613 ... 2.9101431 3.0353973 0.8362904]
